accuracy,loss,val_accuracy,val_loss
0.31675851345062256,5.522836208343506,0.42328041791915894,1.9179787635803223
0.4834958612918854,1.6496856212615967,0.4930254817008972,1.5324304103851318
0.5705893039703369,1.3458983898162842,0.6291486024856567,1.1084349155426025
0.6495063900947571,1.0878618955612183,0.6863876581192017,0.9718126654624939
0.6756101846694946,1.013846755027771,0.6632996797561646,1.0322465896606445
0.7473199963569641,0.7796759009361267,0.7085137367248535,0.9584213495254517
0.7811762094497681,0.6657878160476685,0.6657046675682068,1.1157315969467163
0.8174550533294678,0.5743907690048218,0.7359307408332825,0.8588002324104309
0.8350796699523926,0.49671685695648193,0.7340067625045776,0.9624203443527222
0.8447701334953308,0.4791567325592041,0.6998556852340698,1.0828520059585571
0.8702682852745056,0.4012005627155304,0.7407407164573669,1.1421760320663452
0.8765065670013428,0.37620505690574646,0.7609427571296692,0.9029872417449951
0.8849857449531555,0.3535517454147339,0.7527657747268677,1.0287652015686035
